Edit,Item Code,Item Name,Item Volume/Qty,Base Conversion Name,Conversion Volume/Qty,Conversion Name,Conversion Unit,Updated By,Updated Date
,11159,COFFEE CONCERNTRATE,1,LITRE,1,UNIT,1.0,,2023-12-29 16:01:23
,11160,CONDENSED MILK-LITRE,1,LITRE,1,UNIT,1.0,,2024-01-19 13:11:45
,11164,FRESH LEMON GRASS JUICE,1,LITRE,1,UNIT,1.0,,2023-12-29 14:37:16
,11165,HAZELNUT FLAVOUR,1,LITRE,1,UNIT,1.0,Sachin,2024-07-26 18:26:57
,11166,HOT CHOCOLATE KG,1,KILOGRAM,1,UNIT,1.0,Shubham,2025-03-10 11:15:12
,11168,IRISH FLAVOUR,1,LITRE,1,UNIT,1.0,Sachin,2024-07-26 18:26:26
,11169,LEMON JUICE,1,LITRE,1,UNIT,1.0,,2023-12-29 14:39:18
,11170,MARSHMALLOWS KG,1,KILOGRAM,1,UNIT,1.0,,2024-01-19 13:19:49
,11172,MILK-LITRE,1,LITRE,1,UNIT,1.0,admin1,2024-11-19 10:28:06
,11173,OLIVE OIL,1,LITRE,1,UNIT,1.0,,2023-12-29 14:39:52
,11178,SOYA MILK - 200ML,1,LITRE,1,UNIT,1.0,,2024-02-13 18:43:22
,11179,SPRITE,1,LITRE,1,UNIT,1.0,,2023-12-29 14:40:52
,11180,SUGAR,1,KILOGRAM,1,UNIT,1.0,,2023-12-29 14:41:28
,11183,VANILLA SYRUP,1,LITRE,1,UNIT,1.0,,2023-12-29 16:04:21
,11212,ROYCE GOLD TWINE,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:48
,11213,ROYCE KEEP IT COOL STICKER,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:48
,11214,LARGE THERMAL BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:06:46
,11215,ROYCE NAMA GEL PACK,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:06:45
,11216,NAMA THERMAL BAG - PIECES,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:09:49
,11217,ROYCE BLUE RIBBON 1 INCH,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:48
,11218,ROYCE BLUE RIBBON 1/2 INCH,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:48
,11219,ROYCE LOCAL GEL PACKS,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:06:45
,11220,ROYCE EVA BAG RED,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:08:16
,11221,ROYCE GOLDEN RIBBON 1 INCH,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:47
,11222,ROYCE GOLDEN RIBBON 0.5 INCH,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:47
,11223,ROYCE GREEN RIBBON 0.5 INCH,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:47
,11224,ROYCE GREEN RIBBON 1 INCH,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:47
,11225,ROYCE MESSAGE CARDS,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:47
,11226,ROYCE NAMA COOLING BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:09:50
,11227,ROYCE PAPER BAG LARGE,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:06:45
,11228,ROYCE PAPER BAG SMALL,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:06:45
,11229,ROYCE PAPER BAG MEDIUM,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:06:45
,11230,ROYCE RED RIBBON 0.5 INCH,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:47
,11231,ROYCE RED RIBBON 1 INCH,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:47
,11232,ROYCE LOCAL COOLING BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:46
,11235,VANILLA ICE CREAM PREMIX,1,KILOGRAM,1,UNIT,1.0,,2023-12-29 14:47:25
,11236,CHOCOLATE ICE CREAM PREMIX,1,KILOGRAM,1,UNIT,1.0,,2023-12-29 14:47:50
,11237,TOMATO KETCHUP,1,KILOGRAM,1,UNIT,1.0,,2023-12-29 14:48:19
,11257,ROYCE HOKKAIDO TOTE BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:12
,11258,ROYCE GIFT WRAPPING NET,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:32:22
,11260,ROYCE NAMA CHOCOLATE CARAMELISER,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:42:49
,11261,ROYCE NAMA CHOCOLATE MILD CACAO,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:45:00
,11262,ROYCE NAMA CHOCOLATE GHANA BITTER,1,BOX,1,UNIT,1.0,admin1,2025-04-22 17:01:58
,11263,ROYCE NAMA CHOCOLATE ECUADOR SWEET,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:45:55
,11264,ROYCE NAMA CHOCOLATE MILD WHITE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:47:18
,11265,ROYCE NAMA CHOCOLATE HAZELNUT,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:48:51
,11318,ROYCE RED ROSETTE BOX EMPTY,1,BOX,1,UNIT,1.0,admin1,2025-04-14 08:02:35
,11435,MONIN HAZELNUT FLAVOUR - LITRE,1,LITRE,1,UNIT,1.0,,2024-01-19 13:40:07
,11436,MONIN CARAMEL FLAVOUR - LITRE,1,LITRE,1,UNIT,1.0,,2024-01-18 17:49:01
,11437,MONNIN IRISH FLAVOUR - LITRE,1,LITRE,1,UNIT,1.0,,2024-01-19 13:18:05
,11465,ROYCE PISTACHIO CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:50:19
,11466,ROYCE PISTACHIO CRUNCH CHOCOLATE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:50:36
,11467,ROYCE FOLDING BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:12
,11513,LE PURE CASHEW ROKA,1,PIECE,1,UNIT,1.0,Shubham,2025-09-02 15:43:29
,11545,ROYCE YUZU GIFT TRAY,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:12
,11626,DOLFIN CHOCOLAT NOIR 88% CACAO (30G),1,PIECE,1,UNIT,1.0,admin1,2025-05-13 15:20:30
,11652,ATMOSPHERE BLUEBERRY LAVENDER KOMBUCHA,1,LITRE,1,UNIT,1.0,,2024-02-10 12:39:04
,11653,ATMOSPHERE SPICY GINGER KOMBUCHA,1,LITRE,1,UNIT,1.0,,2024-02-10 12:39:33
,11654,ATMOSPHERE EXOTIC LIME KOMBUCHA,1,LITRE,1,UNIT,1.0,,2024-02-10 12:40:01
,11655,ATMOSPHERE KOLALA KOMBUCHA,1,LITRE,1,UNIT,1.0,,2024-02-10 12:40:29
,11656,ATMOSPHERE GRAIN FREE PANCAKE MIX,1,KILOGRAM,1,UNIT,1.0,,2024-02-10 12:40:57
,11657,ATMOSPHERE SEA SALT CRACKERS,1,PIECE,1,UNIT,1.0,,2024-03-27 18:33:15
,11658,ATMOSPHERE CARAMELIZED ONION CRACKERS,1,PIECE,1,UNIT,1.0,Sachin,2024-06-20 18:16:32
,11659,ROYCE VALENTINE GIFT BAG S,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:12
,11660,ROYCE VALENTINE GIFT BAG M,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:31:11
,11663,TEST ITEM 3,1,BOX,10,UNIT,10.0,admin1,2025-04-02 11:17:07
,11668,WILLIES CHOCOLATE POWDER (250GM),1,KILOGRAM,1,UNIT,1.0,,2024-04-18 19:06:53
,11680,ROYCE BROWN PAPER BAG,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:46
,11681,ROYCE GOLDEN RIBBON 1.5 INCH,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:28:46
,11808,VANILLA ICE CREAM (5 L),5,LITRE,1,UNIT,0.2,admin1,2025-06-09 15:00:09
,11809,CHOCOLATE  ICECREAM (5 L),5,LITRE,1,UNIT,0.2,admin1,2025-06-11 11:09:49
,11810,MANGO ICECREAM (5 L),5,LITRE,1,UNIT,0.2,admin1,2025-06-11 11:09:15
,11811,MANGO POWDER (100 G),1,KILOGRAM,1,UNIT,1.0,Sachin,2024-06-20 18:36:56
,11819,ROYCE BATON COOKIES FROMAGE,1,BOX,1,UNIT,1.0,admin1,2025-04-23 10:50:54
,11827,ROYCE AMBER TREASURE BOX EMPTY,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:52:40
,11830,ROYCE ROYAL OPULENCE BOX EMPTY,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:55:20
,11833,ROYCE SIENNA CELEBRATION BOX EMPTY,1,BOX,1,UNIT,1.0,admin1,2025-04-14 07:56:24
